name,type,country,region_city,season_dates,ages,price,website,facebook_instagram,host,source_directory,confidence,dedup_status,notes
"Boundless Life","permanent","multi","Sintra PT / Syros GR / Tuscany IT / Estepona ES / Kotor ME / Sanur Bali ID / La Barra UY / Kamakura JP","Year-round; join 1-12 months","1-14","€5,830-9,130/month","boundless.life","","Boundless Life","WorldlyTribe; WorldschoolHubs blog; Worldschool Atlas","High","NEW","Biggest paid network. Finnish/Montessori education centre + co-working + accommodation. Appears in 3 directories."
"World School Pop-Up Hub","recurring_event","multi (global)","17 cities worldwide","Jun-Nov 2026: Medellin, San Francisco, Sibiu, Mendocino, Warsaw, Austin, Vienna, Dresden, Luang Prabang, Liverpool, Cuenca, London, Osaka, Cape Town, San Miguel de Allende, Taipei, Oaxaca, Santiago","All","~€100/family","worldschoolpopuphub.com","","World School Pop Up","Own events page; WorldlyTribe","High","RELATED to existing 'Worldschool Pop-Up Hub'","Brand running weekly pop-ups. 17 confirmed dated cities for 2026. Decide: one record vs per-city."
"Project World School","recurring_event","multi (Greece, Peru, global)","Peloponnese/Pelion/Athens GR; Cusco PE","Multi-day retreats + family summits","Teens & young adults","Varies","projectworldschool.com","","Lainie Liberti / Project World School","WorldlyTribe; WorldschoolHubs blog","High","NEW","Founders of 'We Are Worldschoolers'. Teen-focused immersive retreats. Long-running, well-known."
"Exploring Families","recurring_event","Europe","Lake Garda IT (Mar-Apr 2026); Bornholm DK (May-Jun 2026 sold out); Utrecht NL; Funtana/Istria HR","Dated 2026 sessions","Families; teen/tween edition","~€70/family","exploringfamilies.eu","","The Exploring Families","WorldschoolHubs blog; Worldschooly","High","NEW","Runs the 'Worldschool Gathering' events (NL, Croatia) listed on Worldschooly. Dated 2026 sessions."
"Travelling Village","recurring_event","Vietnam, Taiwan, South Korea","Multiple cities","Jan 2026 cohort, ~3 months","Families","Varies","travelingvillage.com","instagram.com/the.travelling.village","The Travelling Village","WorldlyTribe; WorldschoolHubs blog","Medium","NEW","3rd year, ~20 families travelling together. Structured community travel."
"Worldschooling Journeys (Every Avenue)","recurring_event","multi (cruises + land)","Global; Austria Bad Gastein land trip","Varies","Families","Varies","trips.everyavenue.com","","Every Avenue","WorldlyTribe","Medium","NEW","Community cruises + group land trips. Note Austria trip overlaps existing Austria retreats."
"Outside the Box Adventures","recurring_event","Maldives, South Africa","Dhangethi Island MV; South Africa","Varies","Families","Varies","outsidetheboxadventures.com","","Outside the Box","WorldlyTribe","Medium","NEW","Adventure-based family programs in wildlife/nature settings."
"Unschool Adventures","recurring_event","Spain (+ global)","Valencia ES (2026)","Program dates vary","Teens","Varies","unschooladventures.com","","Unschool Adventures","WorldlyTribe; WorldschoolHubs blog","Medium","NEW","Teen unschooling travel programs. Valencia 2026 session."
"Arctic Terns","recurring_event","Bulgaria + global","Bansko BG","Pop-ups across locations","Families","Varies","arcticterns.global","","Arctic Terns","WorldlyTribe","Medium","NEW","Bansko-based pop-up hub network."
"The World School","permanent","travelling community","n/a","Travelling","All","Varies","theworld.school","","The World School","WorldlyTribe","Low","NEW","'Democratic-school-inspired travelling community.' Vague; verify it still operates."
"Worldschooling Bansko","recurring_event","Bulgaria","Bansko","Jan 4-Feb 14 & Feb 22-Apr 4 (winter/ski season)","Families","Varies","worldschooly.com/hub/worldschooling-bansko/","facebook.com/groups/1458088764967558 (Home/World Schooling Families Bansko)","","Worldschooly; Worldschool Atlas; multiple blogs","High","NEW (USER HINT - Israeli community)","Bansko = the 'worldschooling capital'. Israeli families explicitly present. Winter ski-season hub."
